block_number,address,is_erc20,is_erc721
6000038,0x639324941b4044b2d5d6aa23263dc8b3d5b909f0,true,false
6000115,0xeb4767a240ab2204672fc72f3a2efc5181146205,false,false
6000120,0xba9a5a26473b1a5f2bf160e4a8e4ded6a61b4bb2,false,false
6000174,0x42df0bf2af6d36cd4383c9793cb5242ed92007bd,true,false
6000177,0x182b4cbf02f31d5f0240ea65133a8f14a3454b46,true,false
6000219,0xfac2ac31b602faada72723967e87ef3c9b1cba87,true,false
6000252,0xda250b43dafeab4a06d9d658e56c179e920b59c6,false,false
6000305,0x35188ea535b9af27e3acc90a7891d32414318a2d,false,false
6000378,0xb10326c5908e5e86cbd62b78cd509cce1b4a5f92,false,false
6000417,0x73ebcce1c2990b6c87f564c208b7ceef49e65f49,false,false
6000421,0x4a3bf69d05de3dad67ca8f2ff4cff4f482b714b4,true,false
6000455,0xb65a0abb1769dd2a78634f5a868f6ac0c1de2fea,true,false
6000473,0x0b98f937f6edd6f66b0f0a210d3dcd8ec1063cb6,false,false
6000482,0x5372e6ab5eea8f3db5f74ee7bd76c7be0f32b17f,true,false
6000483,0xb40b319270599a72a2a2f1799f7d906827aff8a5,false,false
6000483,0xfa16d84fa0b0033a957f51a660c17e6da42fef7d,true,false
6000515,0x22bbb4c5292b0f36d08f2c98b4a92253879bb6c6,true,false
6000521,0x87fabb34fdbcd7f764019201aa805515424a82de,false,false
6000534,0x725b190bc077ffde17cf549aa8ba25e298550b18,true,false
6000536,0xafe73707d9e788c21bd9d492ef1af6064fae60be,false,false
6000586,0xf2bb87279e5e0d7291a88f01bfc82758f9180f65,false,false
6000597,0x2c29de6071333ec9ac01d333e2575ed0a13dc34f,false,false
6000641,0xb69d3b6943ff6822142667996cf788bf1ea6e7f4,false,false
6000701,0x69aceefdaaaa2895b4b2f9a4589ae527687e193c,false,false
6000717,0xbcb83bcabc44e2e19859e1e9521a8683c123330a,true,false
6000749,0xe3aabccce6bcce7efc0f94dc9b04f247988fdc1b,false,false
6000758,0x87d7ce32901d095b75e963026a0b4f9753588425,false,false
6000770,0xac1608f0b29bb0ca3edde809ea956d94fb2a3a30,false,false
6000845,0x7c326122afa0797b1a374e1f52ed1ade8ab1d960,false,false
6000896,0x6ca7836f0ce5acca59bdec82d35e700e927f7ea5,true,false
6000908,0xd75df3f8b12727d89d1c03362e9466ff66ef2087,true,false
6000914,0x632cb48351a3e82b56fa0e68ba728e9b093f499c,false,false
6000931,0x7018da236041ec81058a4face0945852dd11c758,true,false
6000935,0x168f4673768cfad58d43649cb9ffd33516cc1a13,false,false
6000947,0xba86798ee7f89ac8b87afd28bbd3fd3316ecc7f0,false,false
6000953,0x1c9d0cabb4a77002895ea5b351bab07addfc6b66,true,false
6000961,0x55aab242f714ddff9a7325330af4e05ba9d1f60e,false,false
6000966,0x26a572eeb6036ae1af510d561f59520f626857b9,false,false
6000972,0x4d87bb38c53b4afda61bdb38eb13a1114a8fec77,false,false
6000981,0x4a3c2fd6a7bf0864f2c053820cd106c45d2638ce,false,false
6000988,0x864a060a41011c3ecfef460029482bb4d3cc80c9,false,false
6001000,0xe438a9bd7b78012576ff72d9502519d1a22ec034,false,false
6001000,0xa269b778ac85457528de10737b744b99d7b480f9,false,false
6001006,0xeedb0348e65065431f499a05a8714091c61faf50,false,false
6001006,0x14972eb0204fe8419b87914feb737bde9d378a26,true,false
6001009,0x65b85b31813df46726a2600d853b6f0db1b3f425,false,false
6001012,0x136921b38c10fced434f118e6088c1f98e8808c9,false,false
6001025,0x62cb4f92f1fc439d6a3be70d2d4c49eedd49893b,false,false
6001031,0x3a0e975f15f72194e2feed6f93d21c6cdb7f6c66,true,false
6001040,0x7ed42aa85f168861acca27736e707ff751b857a7,true,false
6001055,0x919f92323a4b6b2c8b883491358b04a0f72c904f,true,false
6001111,0xd65eb4f555c46aa7a969f3631c909395b5c1f8c8,true,false
6001121,0xc32a047130cbb3d6ff95807a2014ed97d88a204d,false,false
6001124,0x8c978df8ce5111fcbc8c6d91e5e31ec187a64cbb,false,false
6001133,0xd07c6458b13f9f1fe000b4f7d50bd11270130f60,false,false
6001138,0x60528f42d81c76260e2e82ab9b09dc8ee8b850d3,false,false
6001164,0xc710022d08b05db3439942f652ace88fed3b8032,false,false
6001175,0xd87858f8cef398fd1befd55edf49bcad95b3746d,false,false
6001182,0x82ccf4859512e3f1c97d9f9df945a2058e41d80a,false,false
6001188,0xb8ed1b12732ecf08e83177fefcb5cbeb07184e31,false,false
6001211,0xb7258a1dec1ea7631529b11b0f842819dcf59e15,false,false
6001225,0x004dad2f2c3ca646dbc1fe5ff592d6bcbdccbf22,false,false
6001225,0x2008124e0b610aaaead1ca7f2f4541f854f44b0b,false,false
6001230,0x0a7d18252f88eeab5442e8fab41273ae1a4968a3,false,false
6001266,0x118d33a273c37c9a36a43a6ef71a7bec014a4d89,false,false
6001267,0xd8ced0d3fa7304fe3d808d51c53cd1337b44475e,false,false
6001307,0x347b6f564f956e5a02d05ecc4746009948235df7,false,false
6001315,0x40e690e430710cfca6583b24d8c187b85b7fc1a7,false,false
6001337,0x00fe3cbc85705505eb14495fe2844afa7389996e,false,false
6001355,0xfc926852afceedd080b52aae04169a1e42b564a8,false,false
6001366,0xb0223acf22819fdeef14f0a02cf0ec05c8c685ea,false,false
6001368,0xa7855b7dcd99854ff1dc60a592f1a33aede4ce8e,false,false
6001373,0xfa75b65e52a6cbc5503f45f4abba2c5df4688875,true,false
6001381,0x4af2ec3432415bf55c2741fe67e0f92706ca1791,false,false
6001406,0x4742adbc5253ed6d23d30fb81d75a1e0ee217d15,false,false
6001431,0x12672cf62543ffd70ebab76abc17875c2aa32a96,false,false
6001449,0x2061c0c71e528710dc032a129f722030e542223c,true,false
6001465,0xff2f7c3d207122e9e6423dd7475adfc723fce184,false,false
6001487,0xfc0a5c91375961410e8640966bbad891d886ffca,true,false
6001492,0xe153bbfbd0dc32dfe390ece4815a77c39100108d,true,false
6001493,0x7c00b75a59fcb9d143ee93443e95751ef97d2dc9,true,false
6001497,0xb411f82e32cd92edce4ec794319399101d0d0a73,false,false
6001509,0x972a7e52e91fff14dc266482b8bd8964e4a55aa2,false,false
6001511,0x23784dda12d1d61a0992798c9a2d2406e7aa957f,true,false
6001513,0x02ebbc0e01be79d76a100ed987d2e7bf9b4dac7a,true,false
6001523,0x5a183682bd6eda6e3c1e62ac985658d28e89f7cd,false,false
6001566,0xc230aa2d440f85276cb783bff11cb98a5ef9d5fe,false,false
6001594,0x0589e77a5fa34e6db9f6ba9ed69ab42ffff390c5,false,false
6001604,0xf5bdd9be54d12a74030f93f44e71865f461877a4,true,false
6001605,0xfd6be1247a5d32ee83aad9d1b09b5df9e2988d6f,false,false
6001607,0x83e396adc9a2e1b6f695cac5697574b67050c949,false,false
6001630,0x2dd32d429bb8f301831409b4eb96746f9fb1a35b,true,false
6001632,0x266d83a13ee19a8bc8ffcf79515c988d2dab1fc3,false,false
6001671,0x76920b4beb9d415fdd33b5d4e0da427beea609f8,true,false
6001770,0x62d1163dad57b4a703b669bfad54b15ffc831634,true,false
6001797,0x103dd3b4db435173c0d6940e4927acb099d0a030,false,false
6001819,0xc1d2b4f77726040a9b5c9cba06e851d5ddbd737d,false,false
6001837,0x2fd48d08233583b2703023f406d62b8ad4e34e75,true,false
6001838,0xd8f2c5e170224a542f0bcaf4eeb7a3ab1447607e,false,false
6001846,0x0de289445e4f993bd06495a4610d0b76f71c3ea8,false,false
6001858,0x7c2d49aad4f6df13db5edf3945668c02a33e1ce0,false,false
6001867,0x3fed70b4fdafacb6aae7e04eb92a089d6a6e166a,false,false
6001874,0x98969b2b23b9da66695cd515e2f9e56f0c53011f,false,false
6001886,0xef2a5475996965a2061894bc1fdab7ee84218cda,false,false
6001897,0x97b415de7c206a40af6cb8eeecbd089b37f2daea,false,false
6001906,0x11e0c27aed0897e955ece13fabd9c70ec3c2accf,false,false
6001974,0x4992e88b4d96db35bd06d2db97f6ce04334c01a2,false,false
6001978,0xd88805de12a069c63cc6b9dcae249e4ace5dc296,false,false
6001978,0xdb91670cb86a36067a72a4e73b283bb5cdbd4e58,false,false
6001989,0xf7bf23c35253daf6ffc3c97d8c07d7636826c2f3,false,false
6001992,0x06795683b9206e1850a7d84226d0e47fefb1b2a4,false,false
6001996,0x710577e58db926cf6ec8c02a7a26320c7fd385d6,true,false
6001999,0x23bb2d4f925e988a394af28f9a68ae9f8b0a395d,true,false
6002010,0xa55c1198d219ef309e42ef930ef93a86e68ded42,false,false
6002023,0xb320cbf0a6f7dc69fe1188bc382809fe87808ee8,true,false
6002029,0x9579f068745d57dfd84f6e95d94c2c455cadaca0,false,false
6002053,0x1067dc1059b988e27d772ed8d529f6516cd04853,false,false
6002078,0xb75e0b03a116ec81ef8c45ddce8a2e049dd5216e,true,false
6002082,0x1b2cb029d54450e3f7934d93068dda7b550a6604,false,false
6002095,0xec7c4613ffe99ef95d86c808194537bf571cc5b1,true,false
6002112,0x6c22f3087f4576442403debf34ca443ef7898dda,false,false
6002113,0x7596a809daf69daf591ed328a709c53655d573d1,true,false
6002176,0x72fee37d9d0ae48f94fafdf700e2c4fa4b086015,false,false
6002239,0xa62a4a579c8a18ca8aed837aa8825a74e2e54a4f,true,false
6002289,0x5f75a6ca43bf370aebf8212090710ca9d8eb0814,false,false
6002329,0x21268a0afd91b21caa1c8c3dc1fcf63a97e8c868,false,false
6002353,0x121a129e6271551190f48c96ba5010b8df6bfb10,false,false
6002373,0x01be5fe5a027493c38b4b91ba2965c7d4d12c67e,false,false
6002433,0x8c4ebae5fac24c40f9d414c4f02257b8f1bdcf1f,true,false
6002465,0x65ce98f12aa14f0d2fbd3c467e1436befa4c8aed,false,false
6002505,0x1cfd062cf17b2b4d86f1ecdd19c49e1ded2ea1f7,true,false
6002558,0x3edaa6b6fb262d9d0e0433723c0812ead61684f2,false,false
6002593,0x7bb022f8f33cd3738ade22e56616df2cf0b6c022,false,false
6002649,0xdf1dd0ee9dc0e63d85dfa38f1b3c57e3612e438e,true,false
6002671,0x596ecc2d4ff16c16f6eb62b5bb5a076cc98feea6,false,false
6002676,0x4d0d5ebc381066b5f8bd89d287845b036ed17d99,false,false
6002694,0x7db61cd43f35ea26f577ae4479710f5e447e6005,false,false
6002702,0xad8af36a8f48a978ecaa1d3ba4c07fa5ee56ae96,true,false
6002720,0x6e9bd981c217be137312a34ee06bcdf8eb2b890f,true,false
6002722,0x3b44cb150a2521ffe5a2cc86d3f2ccd3f39afcfc,false,false
6002763,0xa5ff82a523e934a012dd668d79102a0fc60518ca,false,false
6002773,0x4596fd0b3dc3af9969dfaa0ba9d4e25255828822,false,false
6002812,0x175054b2ed7e3b0e7085d2415ac4cfb9e8377b8b,false,false
6002842,0xd58cec570a126ddd8d2234852e7957c2b46c2b50,true,false
6002868,0x2c2bbcb2cfa1193f5c221c13d83b893c518fcbf5,false,false
6002966,0x92fa4ea84c32cc0f6f9828ba992ccdf77c5c20f1,true,false
6002970,0x4cba8d9080964482371b6e6e474dd48eba541640,false,false
6003013,0x5bdddfce3baac9d4a8e1dd9f01cf35bac4d48370,true,false
6003021,0xc0280cb47d1c7e311d458417f452427607213668,true,false
6003021,0x2d3cc2bdb155d8d0d8271ea3f2ca2a92c23989c4,false,false
6003046,0x9d0da7002b755eb8df636a9e327a58548e13d8f8,false,false
6003073,0x0cb9a31b5784f85264114854fb8cae26c2b5375a,true,false
6003134,0xcbc00dc9fe1c62219ea42c3eac15f1acca979976,false,false
6003139,0x0704d3952dc50e8a36a8cb53f84d8c39895cd5cf,true,false
6003142,0x49c67ae22c334d0123dd6dbdc44f5302e130a88b,true,false
6003155,0x522f3ee6a904714db7bbeddfdb680e8fa16af1d1,false,false
6003169,0x0fff177fa702014f51be576d68d083b0468f513d,false,false
6003172,0x0aa167255001fdf266a852ffa8f5a64330419ebb,true,false
6003177,0x48c56c4d7f76d802aa65fb1092d718fc154a859c,true,false
6003183,0xf4d65945c6b4d761577a70623906f2f9c6d8c14a,true,false
6003185,0xd281359c4ffc2cc666b31a4470e359d5c591661f,false,false
6003185,0x25bc2461b6cf8c64b690e333cd47ebae5d7c4384,false,false
6003218,0x71ebc4c8044df0de817bcd05301af3ac6a718f7d,false,false
6003255,0x22e135c8b0d99417b92ace3060212342ec78683b,false,false
6003319,0xe0801c390980fe86136c91129fa09b4601bcc8e4,false,false
6003340,0x26c7bdd051318b48092390eabd1b69fce5080b25,true,false
6003348,0x042266f5ae851aff4a8104f71cf8982be1fe539f,false,false
6003389,0x766a57d21f750da13838bc6fdefdb2ccd74fc6fc,false,false
6003415,0x7190499808bd436204d81cdd0537ad7a1980d5bf,false,false
6003418,0xe22734ac01cced66c99c4d76d1599e350e2890b6,false,false
6003446,0x33ae9fa7b43b9fd97904c494c8f4b4e6d1388bc3,true,false
6003495,0x5dd0298d9b8169b6918a263dc53da914e44eaba6,true,false
6003508,0xa8edad72dd2128a403833515c99f12f06a6bdebe,true,false
6003550,0x3cf064019fb405070036fb68e0dc91e9099eb2ec,true,false
6003582,0x07ddd4e1ce5b4bc2c0cfd55481b48b4ee64590e4,false,false
6003610,0xfe8b197c7da79a5a1ba07b7c45475f1820633927,false,false
6003614,0x8d2dc9a02e2248dbaa8add603a4433f38aea139a,true,false
6003643,0x976b11afaf6538de1d01ad4b4aec5dd307170140,false,false
6003651,0x90d079f8fb57d260a2f289c07270ae57998838b5,false,false
6003681,0x793e69c411af273086e11b18ed729b12d5eaefd6,false,false
6003687,0xb47dea80e9890692a58d71c6384b5c48cdef0eca,false,false
6003706,0xfac0ea17541b4b40113573db6f1018d7ec67ab66,true,false
6003736,0x4c2369f77c6eab3ff3016aad6553d401e3f1b2d3,false,false
6003760,0x5fb786e998548ed821f7d0680343ce5e364f90bf,false,false
