block_number,address,is_erc20,is_erc721
9000011,0x89c805541f024b8c4b3dd784c3f4a8818996838d,false,false
9000016,0x4d58b1e8007078ecc6eaf6df7527b64e46831d23,false,false
9000030,0x539615bdec94daa61295eca4e7ce8f86f6ce2dfb,false,false
9000033,0xacb60799cec3ea1cf4797c1edc39dad6d0395943,false,false
9000060,0x65167e381388bc803aa2f22cd99d093068e98007,true,false
9000072,0x20e814d239c58ea429fc9ed17810c216dba31c68,false,false
9000079,0xea9c47ad6eaf0a5182db6b84792fcb4670a8860d,true,false
9000142,0x4392ba1bf1f2c0bdf4c594420d996d3868203ace,true,false
9000147,0xb0d0a5414e9ef88bdadf1dd3f0c9c185c5add23f,true,false
9000164,0xad1815196f36b5843ae601e1222a4c3ba1feb927,false,false
9000196,0x0ff619128a6661a4d766cdd853fb3c3657940081,false,false
9000294,0x64419bd6b56b63cb1671bc3f2a8cba8c310402cc,false,false
9000330,0x072b5669721559546bf484e4ec76087704b0d4a4,false,false
9000437,0x8157cba6a414148f91c0abd18a9b646ba42b56ee,false,false
9000476,0xd8abe5b25a704c947848b9e25dbf04bf5b9eaed5,false,false
9000515,0xd2d02abe795daa3fd6eade307ba0ab6482f86285,false,false
9000573,0xc9e085ccae32ef0ca70dd7779ea4f923eecf8a77,false,false
9000595,0x66841edafd39d5ad56ea6e17d7fb381f6b73a7d7,false,false
9000788,0x63618679cd0460e5262c14e8e60d7cfd7f57ac8e,false,false
9000807,0x6060a2036952651562fa063531da809dab18872d,false,false
9000858,0x4c318b7e66cdf97fb94d700c6c684ebc6c71a1b7,false,false
9000863,0x805e0e7084d5ce7daccbc069b0378308ca8d7a8c,false,false
9000866,0x4a94ad34b0fcd51d0e7425dc37c9b18f6eca5424,false,false
9000875,0xec632bf6c35558d249c469f26b76847d529ec23f,false,false
9000881,0x9758c2abfe4c10ce5625589a9a8ab7b563963685,false,false
9000895,0x3ea4fee9d2f189e97efef2238faf78fdb825217e,false,false
9000974,0x8d9f01f28e703807c34c206384fead1f8cc09e38,false,false
9000997,0x2bc75cae2bac3b6ddfa9101c9afb89323d011ec7,false,false
9001001,0x61e00811470cb873a150f078dca06c89d4746554,false,false
9001009,0xa2e21c0ecbf2a280637e12804e75d966a173019e,false,false
9001011,0x21fac477a3b551d2a697ddb27f2204b37a6d8297,false,false
9001013,0x26a30248b6f11798623d961637709fcff48917b9,false,false
9001056,0xedae74f08b6454d00847f2825b86b7f709393de8,false,false
9001143,0xf8dbeae5e640fe753f5d5abaeeac840788576b0e,false,false
9001147,0xa60ebe9bb176b70a91ca48bb2fb18865e4df7063,false,false
9001286,0x11fe777922ae143fdf7dca6a8650024f98ce10fc,false,false
9001316,0x96526f5be68a5d9a6e322d19dc5ab179b00cb37f,false,false
9001380,0x173fca44c7da22a5ce0bbaab527cc3297c8bfbcb,false,false
9001435,0x2a1e5f02fc82f6ac2abefa2cfbb67e59cee987b5,false,false
9001465,0x8c524f38eea57e9bd7542968d17723f522a82aa2,true,false
9001494,0xd65c1f74d689e8f775ae6f2cc380b3ac89441fa3,false,false
9001499,0x6605cdc77501d386d56bc05b5feb15e84b3f9234,false,false
9001524,0x81bb9792c76f3b9c8b8b89f3661529968ccfbbbc,false,false
9001554,0xe04291fdd22e5418c0d454c9e3561b80a9fc0ee6,false,false
9001582,0xa2c95bd576bc45bc9461dca7c23ee7d30582ef03,false,false
9001632,0xbc6bba2cd0ad9f616f0323b98a39ad899db8a735,false,false
9001646,0x7aedaef85e1b7cf7063f16aefc6aee873360fae1,false,false
9001655,0x028ff933bd86bd4d699b1643477f858626482d35,false,false
9001693,0xa79bc931cfcc5d2554a33a098ed11aa9d37e53be,true,false
9001696,0x83e20536badc5606205bfbc9b74f82a889907eda,false,false
9001809,0x4fbcb0f0a29a89ea73e431f2786173afd640d37f,true,false
9001933,0x3443c313890c8298d1d8248b5e710be1dd00c566,true,false
9001959,0xcc87908515b7230d9700d04cd5fceae5f8c40644,true,false
9001960,0x9a82672e2d9768dad62016facba9de732f9e75a4,false,false
9001973,0x358e65e55465e2643f524ebc8184c5a61b3a303a,false,false
9001999,0x8b3934dd548be05022a8484ac41b8303ec4a88b3,true,false
9002110,0x48ce705bb5cded264bac7e0b0e0e2b5f4db7b8b5,true,false
9002482,0x4aad0787ca2ebf43adeb22200bda6a24da40b2c5,false,false
9002490,0x85d57c13436df73d2248c535b5cde41dc8b63f27,false,false
9002509,0x995a332bfcebe3068c1b7b0cc6959fecf73c56ac,false,false
9002524,0xabbf2260ebe3a711b724c15d8550491e581197a4,true,false
9002547,0x3ba4e7936147b1f3758aae496abe6def24526e8a,true,false
9002562,0x33df78e21ed90520abc3a55f261e0ece1bd8c431,true,false
9002565,0x6653fdca35f74858791c1c049cec5da6a069f4ae,false,false
9002578,0xc8ded1bebe9bcf1048a09613de8cd53d8cff1c04,false,false
9002583,0x3873ff64adf314be974783b0150aa8c4c407c8bb,true,false
9002591,0x8c53b4c9d24101a988795a1f9a4ea1be7eed1546,true,false
9002648,0x28bfec0c04cb20ab8be2b95e5ac1729d27f7fa10,false,false
9002651,0xe51cd7c55c1350fa6e8d25976b3dd3040a7b2451,true,false
9002665,0xe6a78fddd38acd9dd0d9351f9eef4dd55a640238,true,false
9002669,0x8fb0b5b4ba7b39a11b3923b48eebe8bc7669f5a1,true,false
9002677,0x5d389106ae7bb313d7ec39f71d8f825ed17d7ba1,false,false
9002733,0x7097b4c4df5c94892be56c61455a57f178ca13cd,true,false
9002748,0x6091bbd392ac038934731cba232c52802a6c17c9,true,false
9002811,0x668eec9e81b3d914605a92084a46b9309a5815fd,false,false
9002818,0x993b41be12fcb6dda20904fc4c30b0a73e2c09b6,false,false
9002908,0x51b6391d707f29e5209fbb11765b5e41c262330f,false,false
9003020,0xe1642648008e025ec6e85016caadc905dda31fe5,false,false
9003046,0x70a9c66fa005e1cf05f3abf571147cb708320e67,false,false
9003120,0x7bf8290674274f099045ab21e22033bf8c828a36,false,false
9003172,0x8c352d8c5c82f394c903b6fbbbef949fde8344f5,false,false
9003211,0x565338b113d5a0f744669bc13c0f30f87a6a92d4,true,false
9003235,0xe103f6d914193c180791c6f04c842f7d15470d64,false,false
9003264,0x7b055ff2498d0e8e83ec009292ec24fa8d007097,false,false
9003272,0x8f1ee1dad73d1ba09e23318012d972cccc40f040,false,false
9003292,0x6d45640f5d0b75280647f2f37ccd19c1167f833c,false,false
9003294,0xd5320f3757c7db376f9f09ba7e05ba37c2bdd0cb,false,false
9003371,0x869c06a8d27070da75e1c3c996875be81626db01,true,false
9003445,0xc74cbdc94a3c25640dbf60a430c4dc74526823b0,false,false
9003446,0xd1049a30a1a25f50d3e91c017f50e2cb58322d78,true,false
9003485,0x0dd39766fd08645f78e42aeff15e9c13bbf65878,false,false
9003486,0xca3d14e2bf039cad957c9fb7a4909e902a1572aa,false,false
9003490,0x7fa8a519427d7687813214fa8d809725bd7a9ae0,false,false
9003499,0xe8ba3d8e4f8a5a8c6866ce9a494eb69272d29a4e,false,false
9003499,0xb98ba8378ee9a8fc16b73b7ed6f6e44c74f3135a,false,false
9003518,0xbd4da13c43c0472cb59482760dcc2411d53be532,false,false
9003522,0x7083dd2f1c1760edff40d8fa696b676cbbc95807,false,false
9003563,0x65bf64ff5f51272f729bdcd7acfb00677ced86cd,false,false
9003563,0x38a5cf926a0b9b5fe3a265c57d184ad8c0af05b6,false,false
9003565,0x3f9ccdff24631203a05d069efde6a0c0715aeb1e,false,false
9003609,0x2d1031a7fa84d22486b8bdc0e3620af434f4be82,false,false
9003666,0x4c8c69bd3019314e8984cf8bcc2626bb5376fd90,true,false
9003681,0xd09c867e3fb68f3890a1f096a1f4fc167b2df540,false,false
9003684,0x7ab179757b533edac9b4b85c037fa507e6b97465,false,false
9003718,0x6326dd73e368c036d4c4997053a021cbc52c7367,false,false
9003752,0xaf52f2ac1b5a7e4ce2cc687ff46872ad2cfd3960,false,false
9003759,0xa0ff6aea38e8d76683e0ddf89dc9a352909289e1,true,false
9003780,0xc7cd1a5562b77d279ac05517efce7c165fcb8fd3,false,false
9003784,0xfb61b48e4cf073d14d940a3c6bc17536c60cf65f,true,false
9003785,0x8a9f8c6e59213df5386807d1a2ff4f6500fd3f57,false,false
9003808,0x8f033473aaa440cdcd7affabc38e8b6bdc03b0b7,false,false
9003815,0x9cb303aaa5e3c3016d6c2887fe72231773d366c4,false,false
9003882,0xa51f02b0825c330243d2d56157467bf6f0ce3c18,false,false
9003892,0x9f6e32f2b3d480934ea41856c20bf22fe7f9e895,true,false
9003893,0xd4c97676a28ca52b2ed867f9a1b5d38c055ebbea,true,false
9003911,0x28ea57c1b2d5ef040a5b9e2694f69fb43c35b67e,false,false
9003916,0xc2c40bc13df1239a0f5c0d783628debae7b0d8cb,false,false
