block_number,address,is_erc20,is_erc721
8000190,0x7d3cb11f8c13730c24d01826d8f2005f0e1b348f,false,false
8000192,0x44ddccd20267869146225b78109ed3d42250a50f,true,false
8000227,0x105701c7e74c8360c92154a83345d60f15e41ac7,false,false
8000229,0xb7b8266def95532e9e4f4b4ef7271674ae5e2c04,false,false
8000229,0x372a9eea18eaf4fc4792a9b77406b1ae7e66efdf,false,false
8000231,0x4fe9725da7e688094ab30964f7147b65592d794d,true,false
8000234,0xccb14e71d2b826618e219621a74d41e66c2fd15d,false,false
8000244,0x65cfff7baaf14e03452b485a1416f2ca4f82498c,true,false
8000247,0x15562e3eac169161c80c17f3c239d1de234173c9,true,false
8000335,0x1c3867b6bcae8408be9bbab54ebeb4e8557b0ee3,true,false
8000353,0x2f35cbe87a6177f2a1c4d4e95c1961195b69d1f5,false,false
8000429,0x2c0a32e0ca9834587d1336fca21db7e873682fcf,false,false
8000461,0x4f7c5bd3f7d62a9c984e265d73a86f5515f3e92b,true,false
8000490,0x51eb896d5c98304e5a87b862cd9d42e53eab6253,false,false
8000587,0x7a647637e75d34a7798ba06bd1adf5c084bb5dd5,false,false
8000626,0x5172664fe3f7572ffb3eac0d99c5391e2989c2ad,true,false
8000630,0x581a653c16ed7ae3f3fa86b549aba090abd42e8b,true,false
8000648,0x29da96c3558a61c513c564938741ce7540023920,true,false
8000698,0xcde8463b7b126fac6f7cbaa5689f3f10c47b55d5,false,false
8000735,0x906025a81898565b1271c4702262359071b71850,false,false
8000749,0xc862e8ce69a67aef7d19d8204a79973aced05154,false,false
8000769,0x0511affdb9c18d61298705faca954934aedcd025,false,false
8000792,0x9d3bedfa21b8726add2b44ad12663166ba54da9c,true,false
8000883,0xdc97c8a2aeb281af14a755d8f6b0c6bd7debbdf7,true,false
8000904,0x773301b28178f5669f928bd561f3486cb8711ca0,false,false
8000992,0x2c380cafadf51b656fc854b4252decfedb525131,true,false
8000994,0xbc92abee522870e255b5c3d77709a64b55604072,false,true
8001023,0xb69ed5bc88714bce5de723ba5dc641bdcc280a1d,false,false
8001025,0xe113b01803abed71b29730d2562e0c3ee4a85eea,false,false
8001035,0x3fcd33fbb66c10b80c49aeb4ddef21cf16157574,false,false
8001039,0x397bb6e68b57f618f3f627f3b5d0fce60e7913ee,false,false
8001044,0x2ddb2d50f928872c5a256a935e1250576981f6f3,false,false
8001117,0xfa8e09eea7ac14bf33549b4a02cdaaffd4ac3cf6,false,false
8001148,0x4a8d20c9695ab568b0e78fdc22b3648ecfeba82e,false,false
8001151,0xaa9b9db5c07d8f00a48d0eb52d73f9a48048d53d,true,false
8001172,0x9712c93a0132cfc7a2d2cf3790ee0ad13a590b79,false,false
8001184,0x0a9c5bb90d8d69152b00c9871c78322b455ef1a3,false,false
8001207,0xf6ba659b419392b722ed63d4f5232822eceff262,false,false
8001284,0xe34499e72176bc4ef70f32506380d9242e11a6e2,false,false
8001306,0x20380e601198f7a4b500cf92e8cfb34f9ba13af7,false,false
8001375,0xe6a4cb5b6fb2f29e5cdf11bd03a99d31cf8e64d5,false,false
8001376,0x8b8e5f0ca5a0f82c51db2164b062909bf3cca1c5,true,false
8001390,0x82ea32b7af887c9aa1f05d5a867e42f022b206ce,false,false
8001407,0x9cb46d040667c5e99e7a0cd1858f729ecb9c1b63,false,false
8001430,0x4e642e024c1a457976c72114df1ffd361b44931a,false,false
8001434,0x0294866fd535af6110ec0dc02267a197b053d5c1,false,false
8001484,0x274026dba7e2f075879e84e4764eb2f9bfbebfd3,true,false
8001572,0xe1e6f876019e00c973002a0920f86c05f682dee8,false,false
8001576,0x6c9a336b36e87f1597d7b19fa51c9a1c8cc177a4,false,false
8001590,0x2edc4aabb187a21c2b6a1ed21c328701a514e96f,false,false
8001593,0x397f29efd3249f75c172f421a113c4758cdf8fb1,false,false
8001594,0x395cca8c9097641cd264842b65afd496dc43e1cd,false,false
8001660,0x489b426418ecab4d5dc01c6a3717e54401857181,false,false
8001660,0xeffadaa0d6b3a3c0643830f0e59e14067e34d7db,false,false
8001682,0xf89ac7bc266bb8d79c0079e12d3790152a1bbd45,true,false
8001690,0x020df44b531302403108a25563b775a7db118a43,true,false
8001702,0x213def8f4a1e4b14e96ff80f1e046271b2b0642f,true,false
8001733,0x8a8514c868b8a1e0ebdd55d10980314058bd8028,false,false
8001744,0x74ed57e3c12ee6eec8e583bfff77ea9d33a602e2,false,false
8001782,0x5a34123b2dba13c02616c6aceb1e89353afc90f4,false,false
8001812,0x990429fe80e825331f7da82b50f54a5ab2f229d9,false,false
8001838,0xb243199c66f5c36f6777a2ab4a376e1a8e0d08fc,false,false
8001841,0xf71aec45e60d3d499826bd8c0a498db756f8e4d7,false,false
8001851,0x6e7aece3365d96a0e73bb509ee17330fffda83e1,false,false
8001878,0xd54e2e7281de8e7d220f9173e33241fbfa881968,true,false
8001910,0x84ccbafee39df1a5c2b2da857246c861b9275bd9,false,false
8001943,0x07759938e0256744282d1b79046abf83be522b0d,true,false
8001948,0x55684d01d7554167655c21f4a0be1209a7b92a84,true,false
8001970,0x4328f2e4f89c01d6507611fd7d6d3ed3c629fc5c,false,false
8001971,0x134889d44556a955ba394dee8a5596aef2bbc306,true,false
8001971,0x0b1388b295223252f6c023d1c7d994db285be072,false,false
8001979,0x02c83f4e1eaca0679659be3856f0623cdcae912b,false,false
8001986,0xb9cdaebdd8a812b66717b3f0c761ae12f15151f1,false,false
8001992,0x5c56b0503dfadcff7d8b0c7b0a42c5ce0a074021,false,false
8001994,0x4433a21b2687fa9c8082981cea43522866c5259c,false,false
8002003,0x2c8177043dd748c82b0a63b9c3feb5a61002718c,false,false
8002025,0xfc6f738ba74036b1d9cde9754572eaa25d038849,false,false
8002058,0x81dafb4637e1d0a17a6b2726e8c742b3a3680884,false,false
8002191,0x45f1aa35fec099e5eeab818004685992ee69e70a,true,false
8002259,0x213ea2249374024077dbb159ac51fd95862ce82e,false,false
8002314,0xb4720b056a741485f1dfc0fcf4a2d22ec31efd47,false,false
8002329,0x1d9a3cef66b01d44003b9db0e00ec3fd44746988,true,false
8002340,0x6314eab54ab227fc142fa5cca699845e1257db78,false,false
8002367,0x08fe1d1d01d458a90631dbba7e769f7c2c92e03c,false,false
8002370,0x6965055fe885b31838765ba0ea2efc0632eeb559,true,false
8002371,0x52a7a5b50a567ca6c0a4f85e74b98142eba43f49,true,false
8002394,0x6b502ec42519d93c4bf1f599596b91e1ed6c20e0,false,false
8002403,0x1b2b481e5b3d7b46ec64b25d5d3273e0e07cf800,false,false
8002412,0x727fce632d8396bbca979063a2c92830ec186a5e,false,true
8002412,0x22544ac6f07ae3c0feee31b77757511e7aed7c4f,false,false
8002416,0xc7bd2a41fb41cc4b31436e77abd458446cffe19f,false,true
8002432,0xe42694a3c85aebfa700709a4de85e912312b9e4c,false,false
8002458,0x407c4a3a1438271eec01265aa49516f8bbe1c492,false,false
8002471,0x56bf34124019026f43006becf5b443fa1b69715b,false,false
8002489,0xffc37793213a61d2d842f58771e3ff29de568270,true,false
8002494,0x3360c1fbac60dedf76c1f08ff30a057a352b15a8,false,false
8002590,0x2b4f291dac3f50df9f846901dd350a7ff2357bd6,false,false
8002604,0xcc7354764426615d8f4d3567167273f0648144d9,false,false
8002749,0xacf6e96ed4882a226f2aea71a5e3911454eaab5b,false,false
8002753,0xad95a3c0fdc9bc4b27fd79e028a0a808d5564aa4,true,false
8002762,0x5ea8c594ae76cc1842d473df27f1dccbb35f9f70,true,false
8002765,0xd8cf6471fbd68b803a7e07fbfcc2ced731444446,true,false
8002774,0x66aa73cabada1d3c47cd0194525b3b509780d104,true,false
8002845,0xe780435870600a7d4ab3076199d1864ce0bf9bb1,false,false
8002845,0x311118596fe611e3ffe0be3b616f60e891c6877e,false,false
8002864,0xd15e365fd7920d125300a155ede51223e333c95f,false,false
8002914,0xa6b44770b737ea56554e2542c58637409594c630,true,false
8002947,0xe8d1617a07325c9d83e7e12b859a32d9b823cbb6,false,false
8003074,0xd583859fe8911b70896c3a8a97b8a530cce48508,false,false
8003078,0x2cf189bcf5428f2cc3d490924e079be48607d355,true,false
8003085,0x5fd02ab6755690d8a327f5a9c7711ed7a2c4cb81,false,false
8003136,0x544a1abc3c932847fd1049ee55e0d0e1eeb3dc80,false,false
8003334,0xbec16cf92f8cb1532b06d2e656811f489c361e00,false,false
8003393,0xaba61bfe5e701d99e59cdac1b2afa6e356fb67dc,false,false
8003554,0x004923f4fcb629987342e9418b399c4be14d664a,false,false
8003556,0x0f00defdd422a4b6c9f82cf42cbebfcc3f24f113,true,false
8003557,0x584de5a9995c33c1afa83bc67bebcd481b0a4775,true,false
8003558,0x211298b8c48c3743a6e34de0635867d8172046e8,true,false
8003565,0x3b7f247f21bf3a07088c2d3423f64233d4b069f7,true,false
8003757,0xcb088561ca3bc1d5e3ac0a649f6f45a575d253bf,false,false
8003823,0x0b7e68a9a4ebcbb48cc9643c19af35b2597a1582,false,false
8003872,0xa2ac4a6cd0fa65eff11c6126d940de5cc3cda708,false,false
8003907,0x4a9f0d12901c1005161daf85396d3c2b34ad5ca0,false,false
8003926,0x94309a0ac8ce1195deab54e1e0f9f1413d981aed,false,false
8004040,0xe5fa9eaa53aff323f9a581551a9bb2ffb4282c8a,false,false
8004079,0x3ca678f4e1babd56aceaf10c93568b7d3f76c30f,false,false
8004090,0x91f2203f273677e68d47786b62efbd9497594698,false,false
8004342,0x14b17de8936ffdd265a2c8e3cbcef2fff7735b4e,false,false
8004412,0x93a50dba69e5afb71da57072f2778ebaa34109b7,false,false
8004422,0x51d620ec7adf4f1b47b87797e7a03d32de6bc106,false,false
8004432,0x7716a00c658205d4b0293dbfba27a79bbef1f499,false,false
8004439,0x1d81224a2758bb68fd05c88872a54fc1f5bc33a7,false,false
8004452,0x2def302d3897fdde5aa159c646cc8066c94a5b63,false,false
8004466,0xac18e81b3af936f3eb8b4a61baf6f6057f47284f,false,false
8004472,0xf40b5f6c38d67890adb01b172619fd62ec677938,false,false
8004480,0x78bfdddf4de97e4ff948e0d9d44d7fc3e677f55e,false,false
8004488,0xa2ce06b127cbe8964338526dcaec32052569dd99,false,false
8004493,0x4e07f386b78ec1d1ce0c49bbdb9a47f4752250f4,false,false
8004504,0xd56e92afc2303b998fd78382cc4b3ef928e91a7e,false,false
8004509,0xe269235b01f209829c89bf5fbc2979761ce78eb4,false,false
8004524,0xb442176a71a71a32b525f5e814f98def3343fe87,false,false
8004573,0x90952881cbfb4b77dda7547e98e0e3e85b7495d2,true,false
8004591,0xfe601b539d93b5aa286ad6edace145c4e80a12a3,false,false
8004752,0x9b212f3d8328df825802862ec26bc5bacee2e344,false,false
8004957,0x80e2862d0da12f5018e2dd0eea9672ddac896d7a,false,false
8005146,0x4914280b027841495798a68719da53928a560d42,false,false
8005188,0x38ad66dd12ada0efb444f53911ed9a8dfdf89014,false,false
8005243,0x658b782601e110c05df7bf881ecdcd892bc4b4f2,false,false
8005251,0x68bbbfdef63912ebbee633b4836634ed8a6b2639,true,false
8005307,0x26b7677a22597ac64fc9d3961037f95af77db347,false,false
8005343,0x5ffd7d72678fc532e379f671cdc1567d9977b27e,false,false
8005672,0xfb252087abd657d69e243efaba2d972432f695c8,false,false
8005677,0x4769890a00fb46cbd9c3f771cc60fdee439bb230,false,false
8005683,0x20daeb9b6946f430efbf5fd96028fc02b62a2267,false,false
8005690,0x8f3f1324b870e29db1cae76011df9b2c079edc81,false,false
8005702,0x1b0a9cd702af4665bd06d66b82c3c988a379eced,true,false
8005820,0x57ca541bf48dfb6d63c073463b25a527d12b9421,false,false
8005901,0x11a7ef9a335fe2cf0ef0a4b1e83786653963636c,false,false
8006055,0x2b92b48f050b7dacc2f4beb81b4620a55b2fbb46,true,false
8006160,0x627e819b8e27424cd10ed1a5737e378a0b8eb50c,true,false
8006217,0xb387c7e8fbadd98bae04200106d292661e58ff83,true,false
8006286,0xde0edc33e44a7cec0311ca5bd00922edd4a881b6,false,false
8006350,0xe1699f225330db72cebe70a2918f06b5508034ff,true,false
8006361,0x8abc040f046b3d53666f47e2d784495cc9e97e32,true,false
8006692,0x4e12af06ba8e2961e075afa5d0b725f1232778f0,true,false
8006714,0x99e5c3c4bb867b79bb4874efedc13d3c26211789,true,false
8006760,0x704370fe1bac2cfbb1c70366eb8e0acb0adf3fad,true,false
8006857,0x8f970c770bb4f0a9466aeea1d7fa2b5dcbcc9ef7,true,false
8007074,0x8e35c59c2c0d3150f6f1c03cacd1f1707824e393,true,false
8007101,0xd1bce85dfc70fe85ee8c721bca6207a20774a4e5,true,false
8007120,0xff53e1d20d8ea5b428a1eb10eb8d88df5fd0a1b8,false,false
8007150,0x9e61e6a1ebf10542dcbf7780aaf855b252a770e0,true,false
8007152,0xf0ca4cbb3a5624a4bf9bb3a08dff8b617c6a3d8c,true,false
8007158,0x99a24173661b311158d7b70244d9396aa990e2a0,true,false
8007609,0x8042213ab378d1ffd34136e485c976e33f22dc33,false,false
8007811,0x7be9a83d7ac8bb079bbd377a8a104d929413e8e8,false,false
8007911,0xf9b6541b14f586459acdc6aec15dc2e12b8db09f,false,false
8007999,0x7ad549fda3923811d3b82cf776a3660ab12a32c2,false,false
8007999,0xd3a01574ab7796164f61bad7fd8ba8f0348ab6ea,false,false
8008035,0x9dacb92fb0e0b4df321809b1b6113217f8aefaa6,false,false
8008204,0xe394f12ffa240a0c495dd6a30ef3b63fdf990eb3,true,false
8008207,0x916b92613adcb6da71f4a9c2f540f83780512a06,true,false
8008243,0x28e77de33d77fba4ea0cb23e1ffb78eb2cd32c05,true,false
8008276,0xc1ade60ee7393c4bacd1890d1c5f4afbc3c0eca4,false,false
8008345,0x2d429fec5dfae70a4cd717973d034316709b780d,true,false
8008432,0x32f3b8a00b6912d0314be212fe9538b7b9430c12,true,false
8008578,0x63317636ebe7b23b2f68bab8a1c21bbfbf653229,true,false
8008623,0xcacb4f1371f55bd11e14ebbd9cb404fa1bf5e449,false,false
8008629,0xfc25da75b7317f300044fbb2026e291ac849be93,true,false
8008962,0x488c9d6b8509177c7a0c61c39d595370396929d8,false,false
8008970,0x737f54fb75fb0f5c59c0028c15c1b66e47c2e864,false,false
8008982,0x32365c48d1429d6b818c2896b503bf6393d5aa70,false,false
8008983,0x1d0150f41dcd12d2d6e251aca35098f993c6c0c8,true,false
8009015,0xece10daa44d0ad6871b3a44bf88c92a0341fdabc,true,false
8009077,0x1a16089cfdb3ef2f36bd72f6a98bc98392bf3f0e,true,false
8009083,0x4fa3ecf14b8c66215b5e9110d5a13da8f71c5e60,true,false
8009098,0x9d6828319feb9dedcf714e25cced832dda0cac4c,true,false
8009101,0x8dc75e258ad6cbad425809b584cd9fbf4575638e,true,false
8009140,0x06b20fc5b3e9052b3d761b14667c41b86a8db2ee,true,false
8009177,0x814fd6442748b44c9ad33dc0da8977776c194b8b,false,false
8009184,0xaad6a9afebcd87aadf54ca42d84893b641e1f665,false,false
8009282,0x1dcd5dc7201bf158cf0cfd7d6ce35af345c86038,false,false
8009282,0xad955e391cf54d679c8eb2d4ea9692ec3e338c70,false,false
8009392,0xd256b9ae05a5a0d41adc7f89e24224f19f1c2cd3,true,false
8009430,0xc19e670306b87bca034a3397b5b50993b77cb44d,false,false
8009470,0xbee7a18ff9bdb7d9505a163701691afe0b82bec9,false,false
8009470,0x791aaa5db795a115b9b61a476f93482c1af8ccab,false,false
8009487,0x180b7d89957f4ad372c64fd2cfd93c116c8ca746,false,false
8009503,0x0ff372698e58153b5f4a2e5b11ecf64685f79564,false,false
8009539,0x2f0f0a1f7d8af7556aee71f9fc4c507dc91ba6c8,false,false
8009542,0x7465f08833db5ece7f584fb63939c8dd10deb19a,false,false
8009545,0xfd6386ebf436e480040aa5e99c13b8e428cc54fd,false,false
8009549,0x0f07580c7eb3dae72d61616ed3686bd225b6244b,false,false
8009557,0x9349e01f18765e27b998701a55303b6c3a53161f,false,false
8009560,0x5b81dd756062fda3b8c428b0e3ff6db19d16c247,false,false
8009562,0xee780652b2a49b371412b8e6608cbe0bed11e778,false,false
8009564,0xdf894f3815e318b8e58fbddb2928f47338d1fbf4,false,false
8009615,0x31907d0e76b9cfef64a6036ea80fd738a94d8a34,false,false
8009645,0xbca51cc851000537ac63f7deff0bdcf4070d26b5,true,false
8009660,0x89ca91cfdb0ae8bc3abc659bc0b5fdc866e9d5cd,false,false
8009662,0x7a4821bc36010ac4762908abcde96423d417ea9f,false,false
8009676,0xbdaf6bd2d32a6774c42356d422e850b5f87c2899,true,false
8009677,0x3861a3c9c3362a5276ea59be4707ce5700b9c304,false,false
8009699,0x4e12c8ac48e2e0060f3a1ee9b8b7d6895bd757d3,false,false
8009717,0x063257610fbd46fcac1a62be5ffbcb8128a883a8,false,false
8009726,0x94df4ccc95017920b26960fef876c02d58f40849,false,false
8009780,0x49f8b0fca55bd60a195556b6c10819bf3cab1a52,true,false
8009782,0xe93bc6129af061337ea3274529c48fadd5118a4a,true,false
8009784,0x0a081aa301a932410235c333c198b83871261f56,false,false
8009793,0xe607131fa106d5d7b86a4d5e6ebe5aa5ec4f9fc4,false,false
8010011,0x752481c92d8a379f730e53198067c5dab6ee43bb,true,false
8010086,0xd3e31641fc9bf1059175e6a2b9cab6dd50cec721,true,false
8010148,0x30521e4ccc4d0494d624394fc275ead318051de8,true,false
8010186,0x3a73f2803e3a6de4f84e09b7740926a10c65e1c6,true,false
8010303,0x0cc9e7efc7f984aa4fc7b2e940d51ec786f707d3,false,false
8010877,0x0f47da95df691c28ba469060fc1d3f8bd90af34d,true,false
8010981,0x72b3716ac4603b9b7e64bfdb44feee44a16d19ba,false,false
8010987,0x0fd246d1fed3f2e245f395eaf466173dc468a925,false,false
8010990,0xeb172f215ac39b238b7a1a2b8e39e32671039248,true,false
8011107,0x6dd024bcebd0827beed5c001930148dfb71b0915,true,false
8011200,0x072ccd6247e88114590d08d6a80b7a609473c17e,true,false
8011545,0x69baaac3e7de5665df699919328fa905365292eb,false,false
8011596,0x6c6de9e55afc83a5c64c143ed30658ae8fdf6065,true,false
8011629,0xc10edb0843e51b9b50280b955073e7390368d333,false,false
8011642,0xb318307342f2c762df33018ff346e525e52fe4d2,true,false
8012078,0x2618f69c5bec2ee705fa397d859b6269069bdce5,true,false
8012082,0x4b04833f0be35c259eb7ede57914410f0271464b,false,false
8012092,0x283060cbe67812f30e5d4394b3c020bd1db613e4,false,false
8012098,0xb681e87bb1f558ec4d80c44eace9f280b46e93dd,false,false
8012164,0x7a8d58a04ca441f7c39211e2dc2367face9d875e,false,false
8012188,0xac0054de53f56663f75bc3be522c6a0d366d8698,true,false
8012221,0x62562c36c86f91e5d5253fd153916ae24a9fc68e,false,false
8012231,0x284529718c7d94968fbb40f7f00a05f460b06b71,true,false
8012330,0xf61cf7ba2f5c06a00e480a5c9caea525c0d232b2,true,false
8012396,0x9d70adfe35a0a9a8cdff1f5367d3682fceaa136b,false,false
8012409,0xba65047924a2c2d8e5b140d831592ea172f58ec5,false,false
8012421,0x0073a236ee3dbd8a133f8d9d4717c0d6a042e392,false,false
8012452,0xaaa8d80d05631fecbdfd41504977f42d658eb1ab,false,false
8012656,0x588e93ef3a317d3c3effe9ca4e4e844447d96507,false,false
8012772,0xee3843bc70869093d750d99f0271ef1ed1e09b3c,false,false
8012790,0x4b103831a1a086cd99e3f40e1afe33276eb54009,false,false
8012794,0x484897c3292ba2a600919e9cbde64bcf586fe29c,false,false
8012824,0x99dc887d4d4be20dfa5f4d0cb3329535f5768202,false,false
8012864,0x6b65f3b8f7882c02d4455627ea1a995c9adff08c,false,false
8012867,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,false,false
8012880,0xfea46f643a00bd1b137d93aa28a928ae1ca02922,false,false
8012932,0x322362aa18b2c403bd50198eb3c51f97be7193ed,true,false
8012937,0x19aa8f3fd8bdfbe5b80780eaa387ee3c8746c83f,false,false
8013002,0xf6155d19937dfc0083f9e0969cf9e67cc9b1876a,false,false
8013045,0xf773dd3c46b1e518784d322e59484fcd70fb5cc8,true,false
8013116,0xbd5ba381a08379430ec374b1d94dfdc4649a49bc,true,false
8013184,0xbf3bb0c9695868ccb0ea835086660358670d7d19,false,false
8013247,0xec15fa2e42aa485305d688ea79013693e3349eca,false,false
8013333,0xad7019c1dbf9ce533e36c85590514cf9f3664e73,false,false
8013403,0xf5ee12c555b1773efcd227775fc309fa48bcc51b,false,false
8013453,0x3264d24c51785ab0dfae71a33d928d2cd32787db,true,false
8013506,0xa9c2a09520f684c070a0c11183b2e24a90ac2d4d,true,false
8013511,0x8089ff65e781dff36d0e4e35ede7733ad8586ee4,true,false
8013713,0x9cf982f059fceac0f718b41139c278c55866ca4e,true,false
8013868,0x88261b94b7ede8da3d0347c5e6dd790e22fc60d7,true,false
8013894,0x3b4796b67f2e10022b423c8f58cdaf5b1b8946ce,true,false
8013894,0xc2a842bf61ae9a1c718a168fa9eb6ad7e5e0293d,true,false
8013908,0x422697383da0dc028ee24d9d633f93cdf5b7377a,false,false
8013958,0x0117f3c493c8016a7b3de08d0005c508e0479832,true,false
8013992,0xb110801b22a2b6b57963bd055e8094e3981f4f1b,false,false
8013995,0x0a3218819441574690ceafea7868c709ce367294,true,false
8014000,0xa20848adb0d623534bba685330e384f99f92a003,true,false
8014031,0x7a342739f58a55a3a01efea152efd95e8e96ef70,false,false
8014032,0x644058568580773664ae0f5077b2bc21fdd91dc1,false,false
8014033,0xd24f18719ad7ec5c38830b67dce597209296354d,false,false
8014074,0xada72607384e630833968d3cfe38bafcc369a6b8,true,false
8014088,0x9fffee569f740bf3bb165c06c9faaa9f78fd0113,false,false
8014104,0x7558b1733eac2a9320a2b9900f1752dbf689f6a6,false,false
8014120,0x81c8732fe2994c3880a75a937fdf55fec7594ef2,true,false
8014150,0xdbf53551a36b3c5fa1f4e138803b1e10e7d44f08,false,false
8014153,0x144d150f0af4cf0341bec918fe51a07dad0d9827,true,false
8014215,0xa13aed9570ff7d811fa37a6036d45216b7fee792,true,false
8014222,0x80b6a523b9e9d0e7ed020be3c62c584bb42afe0d,true,false
8014235,0xe49e7de573955ed075ae5fd6f6099a6736773595,false,false
8014257,0x119391d090781e558a9414142a861fcbd7eb11bb,true,false
8014318,0xfc9eed84163c85439a74f1d53a0ffaf716e63414,false,false
8014325,0x6fa42c39cdadfe4584eebc40aafa45f3d9ad26f7,true,false
8014326,0xc0a56e7dd4608430d1cb1071d62e0c8148746740,true,false
8014326,0x67bd7946d96dea8143ede36f8ac9d7d6f791e06b,false,false
8014328,0x92393e9e10e4081039a1757596d1c6d4c8526e0e,false,false
8014345,0x750e99e028e0980e39398e5880b5d2a2c74f5aab,true,false
8014354,0x37369af61310a525f90e10ec4a1b00f4ac20b066,true,false
8014423,0x28735c20732076b746c576eb1636941c4e5d1577,false,false
8014432,0xa4984cf7270fdbcff6b1a8b793310ed11be20b04,false,false
8014436,0x7a467e2e803bedfbbbfcb97b4eede2a5cda12317,false,false
8014438,0x6176cba13d4752cb388f9bc566004d75703fcc2c,true,false
8014438,0xfc3e5c3b3dd1976998c6e03d051ae999988ab204,false,false
